date,broad_usd
2026-01-02,119.6059
2026-01-30,117.8996
2026-02-27,117.8223
2026-03-31,121.035
2026-04-30,118.671
2026-05-29,118.8783
2026-06-30,120.9248
2026-07-10,120.5046
