as_of_date,horizon_days,target_date,spot_random_walk,forward_anchor,forward_points_cop,premium_pct,median,p10,p90,status,model_version,model_error,selected_model,probability_up,generated_at
2026-08-20,15,2026-09-04,3053.48,3063.0533677032845,9.573367703284475,0.31352318349175956,3053.48,2957.8142434486767,3152.2399119726138,VALIDATED_BENCHMARK_FALLBACK,20260820T114945Z,,random_walk,0.41904761904761906,2026-08-20T11:58:11.362732+00:00
2026-08-20,30,2026-09-21,3053.48,3072.597704714826,19.117704714825777,0.6260956258048456,3053.48,2930.478774885146,3181.6439655890103,VALIDATED_BENCHMARK_FALLBACK,20260820T114945Z,,random_walk,0.4533333333333333,2026-08-20T11:58:11.362732+00:00
2026-08-20,45,2026-10-05,3053.48,3082.1131428855847,28.633142885584675,0.9377216449947268,3053.48,2914.436931809335,3199.1565878942024,VALIDATED_BENCHMARK_FALLBACK,20260820T114945Z,,random_walk,0.4742857142857143,2026-08-20T11:58:11.362732+00:00
2026-08-20,60,2026-10-19,3053.48,3091.599813269278,38.119813269277984,1.2484055330075128,3053.48,2890.2463679891516,3225.9326449346468,VALIDATED_BENCHMARK_FALLBACK,20260820T114945Z,,random_walk,0.44761904761904764,2026-08-20T11:58:11.362732+00:00
