horizon_days,feature,driver_group,feature_value,standardized_value,coefficient,contribution_log_return,contribution_cop_approx,direction
30,tes_cop_1y_level,rates_and_carry,12.09,2.1322842725404723,-0.0,-0.0,-0.0,neutral
30,tes_cop_1y_chg_1,rates_and_carry,0.0,-0.0015732664831703627,0.0,-0.0,-0.0,neutral
30,tes_cop_1y_pct_1,rates_and_carry,0.0,-0.01197319542642196,-0.0,0.0,0.0,neutral
30,tes_cop_1y_pct_5,rates_and_carry,-0.00738916256157629,-0.07581645798027337,-0.0,0.0,0.0,neutral
30,tes_cop_1y_z_60,rates_and_carry,-1.2348998119421888,-0.9136928760545354,-0.0,0.0,0.0,neutral
30,tes_cop_5y_level,rates_and_carry,11.95,1.2901626866697318,-2.2767943459855397e-05,-2.9374351104111588e-05,-0.09552862096919235,down
30,tes_cop_5y_chg_1,rates_and_carry,0.0,0.0034533305431764727,0.0,0.0,0.0,neutral
30,tes_cop_5y_pct_1,rates_and_carry,0.0,-0.004056997243685379,0.0,-0.0,-0.0,neutral
30,tes_cop_5y_pct_5,rates_and_carry,-0.011579818031430933,-0.3982057125757265,-0.0,0.0,0.0,neutral
30,tes_cop_5y_z_60,rates_and_carry,-1.1978112016763174,-0.8226462098606309,-0.0,0.0,0.0,neutral
30,tes_cop_10y_level,rates_and_carry,11.84,0.9687217982305273,-0.0007587269218946896,-0.0007349953081437366,-2.390285591567327,down
30,tes_cop_10y_chg_1,rates_and_carry,0.0,0.001646337944738003,0.0,0.0,0.0,neutral
30,tes_cop_10y_pct_1,rates_and_carry,0.0,-0.00722269073368649,0.0,-0.0,-0.0,neutral
30,tes_cop_10y_pct_5,rates_and_carry,-0.012510425354462118,-0.4130464526857343,-0.0,0.0,0.0,neutral
30,tes_cop_10y_z_60,rates_and_carry,-1.1765532369147178,-0.8711052933917134,-0.0,0.0,0.0,neutral
30,inflation_level,domestic_macro,6.14,0.21281006076734008,0.0,0.0,0.0,neutral
30,inflation_chg_1,domestic_macro,0.0,0.015525938677707574,-0.0,-0.0,-0.0,neutral
30,inflation_pct_1,domestic_macro,0.0,-0.0011626524594130741,-0.0,0.0,0.0,neutral
30,inflation_pct_5,domestic_macro,0.0,-0.0025997769620173155,-0.0,0.0,0.0,neutral
30,inflation_z_60,domestic_macro,1.9540779104343686,1.2636912788938668,-0.0,-0.0,-0.0,neutral
30,current_account_level,external_flows,-1573.14,0.5236192240886103,-0.00019519943867497472,-0.00010221017862152253,-0.33239874399683966,down
30,current_account_chg_1,external_flows,0.0,0.004702479355489176,-0.0,-0.0,-0.0,neutral
30,current_account_pct_1,external_flows,0.0,0.005336737979033323,0.0,0.0,0.0,neutral
30,current_account_pct_5,external_flows,0.0,0.011933988697013474,0.0,0.0,0.0,neutral
30,current_account_z_60,external_flows,,-0.06288749246112002,-0.0,0.0,0.0,neutral
30,sofr_level,rates_and_carry,3.63,1.0737208155629763,-0.0,-0.0,-0.0,neutral
30,sofr_chg_1,rates_and_carry,0.0,-0.004563782897908148,0.0,-0.0,-0.0,neutral
